자동차검사소명,자동차검사소유형,소재지도로명주소,소재지지번주소,위도,경도,검사소전화번호,운영시간,검사진로수,부지면적,건물면적,검사기술인력수,신규검사여부,정기검사여부,튜닝검사여부,임시검사여부,수리검사여부,배출가스정밀검사여부,택시미터검정여부,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
현대종합정비공장,민간,경상북도 문경시 영순면 영순로 130(영순면),경상북도 문경시 영순면 김용리 144,36.58266728,128.2238308,054-554-3008,(평일) 09:00~18:00,1,998,387.05,1,N,Y,N,N,N,N,N,054-550-6146,경상북도 문경시,2023-04-14,5120000,경상북도 문경시
(주)관악정비센터,민간,서울특별시 관악구 봉천로 412(봉천동),서울특별시 관악구 봉천동 912-8,37.48248663,126.9455949,02-877-0024,평일:09~18:00+토요일:09~13:00,1,1264.56,1293.1,2,N,Y,N,N,N,Y,Y,02-879-6891,서울특별시 관악구청,2023-04-11,3200000,서울특별시 관악구
서울공업사,민간,강원도 태백시 황지로 104,,37.16809024,128.9920094,033-552-2627,(평일)09:00~18:00,1,3283,1211.99,2,Y,Y,N,N,N,N,N,033-550-2057,강원도 태백시청,2023-04-05,4220000,강원도 태백시
형제공업사,민간,강원도 태백시 외솔배기길 64,,37.17917939,128.9749736,033-552-8250,(평일)09:00~18:00,1,1631,693.39,1,Y,Y,N,N,N,N,N,033-550-2507,강원도 태백시청,2023-04-05,4220000,강원도 태백시
서울자동차서비스,민간,서울특별시 강남구 선릉로93길 46,서울특별시 강남구 역삼동 703-9,37.504433,127.0449451,02-564-5151,평일 08:30~18:00+토요일 09:00~13:00,1,1084,803,,Y,Y,Y,N,N,Y,N,02-3423-6462,서울특별시 강남구청,2023-04-05,3220000,서울특별시 강남구
현대오토종합정비,민간,경상북도 포항시 북구 아치로 189,,36.05904768,129.3461386,054-242-1100,평일 08:30~18:00+토요일 09:00~13:00,1,1440,264,,Y,Y,Y,Y,Y,Y,Y,,한국교통안전공단 대구경북본부,2023-03-28,5020000,경상북도 포항시
(주)신제일종합정비,민간,경상북도 포항시 남구 정몽주로 842,,35.99089312,129.4077027,054-292-5000,평일 09:00~17:30+토요일 09:00~13:00,2,3354,807,,N,Y,N,N,Y,Y,Y,,한국교통안전공단 대구경북본부,2023-03-28,5020000,경상북도 포항시
태극종합자동차정비,민간,경상북도 포항시 북구 흥해읍 덕실마을길3번길 34,,36.12255954,129.3413091,054-262-3600,평일 09:00~18:00+토요일 09:00~12:00,1,6844,259,,N,Y,N,N,Y,Y,Y,,한국교통안전공단 대구경북본부,2023-03-28,5020000,경상북도 포항시
삼성자동차종합정비,민간,경상북도 김천시 백옥1길 5,경상북도 김천시 백옥동 174,36.124685,128.082138,054-437-8282,08:30~18:00,1,1597,486,1,N,Y,N,N,N,N,N,054-420-6826,경상북도 김천시청 교통행정과,2023-03-15,5060000,경상북도 김천시
이한자동차공업사,민간,전라북도 익산시 춘포로 81,전라북도 익산시 금강동 1127-8,35.91544922,126.9818169,063-854-0790,평일:09:00~18:00+토요일:09:00~13:00,1,1269,344.9,1,N,Y,N,N,N,N,Y,063-280-3424,전라북도 교통물류도로과,2023-09-04,4680000,전라북도 익산시
길자동차공업사,민간,전라북도 익산시 신왕길 13,전라북도 익산시 석왕동 107-17,35.97193108,127.0271621,063-834-7458,평일:09:00~18:00+토요일:09:00~13:00,1,1448,282.71,1,N,Y,N,N,N,N,Y,063-280-3424,전라북도 교통물류도로과,2023-09-04,4680000,전라북도 익산시
(유)일급엘지자동차공업사,민간,전라북도 익산시 춘포로 35,전라북도 익산시 금강동 255-5,35.91932782,126.9795824,063-842-6600,평일:08:30~17:30+토요일:08:30~12:00,1,1909,561.97,1,N,Y,N,N,N,N,Y,063-280-3424,전라북도 교통물류도로과,2023-09-04,4680000,전라북도 익산시
(유)1급진성자동차공업사,민간,전라북도 익산시 서동로46길 8,전라북도 익산시 용제동 46-4,35.94457516,127.003319,063-832-5454,평일:09:00~18:00+토요일:09:00~13:00,1,2420,477.5,1,N,Y,N,N,N,N,Y,063-280-3424,전라북도 교통물류도로과,2023-09-04,4680000,전라북도 익산시
G.S 1급 자동차공업사,민간,전라북도 익산시 평동로 806,전라북도 익산시 동산동 1007-12,35.92563006,126.966778,063-842-4975,평일:09:00~18:00+토요일:09:00~13:00,1,1019,356.38,1,N,Y,N,N,N,N,Y,063-280-3424,전라북도 교통물류도로과,2023-09-04,4680000,전라북도 익산시
(유)원창자동차공업사,민간,전라북도 익산시 마한로 57,전라북도 익산시 영등동 439,35.96484218,126.9700766,063-853-1600,평일:08:30~17:30+토요일:08:30~12:00,1,1390,488,1,N,Y,N,N,N,N,Y,063-280-3424,전라북도 교통물류도로과,2023-09-04,4680000,전라북도 익산시
에이플러스자동차공업사,민간,전라북도 익산시 무왕로 798,전라북도 익산시 모현동2가 172,35.96383965,126.947978,063-723-2121,평일:09:00~18:00+토요일:09:00~13:00,1,2138,426.3,1,N,Y,N,N,N,N,Y,063-280-3424,전라북도 교통물류도로과,2023-09-04,4680000,전라북도 익산시
서호자동차공업사,민간,전라북도 익산시 황등면 화강암로 86-8,전라북도 익산시 황등면 황등리 193-17,35.9954308,126.9503031,063-856-0606,평일:09:00~18:00+토요일:09:00~13:00,1,1021,274.34,1,N,Y,N,N,N,N,Y,063-280-3424,전라북도 교통물류도로과,2023-09-04,4680000,전라북도 익산시
하나로공업사,민간,전라북도 익산시 하나로 543-12,전라북도 익산시 어양동 278-11,35.96944029,126.9784475,063-851-4488,평일:08:30~17:30+토요일:08:30~12:00,1,3794,701.15,2,N,Y,N,N,N,Y,Y,063-280-3424,전라북도 교통물류도로과,2023-09-04,4680000,전라북도 익산시
화성공업사,민간,경기도 의정부시 경의로117번길 11(의정부동),경기도 의정부시 의정부동 99-10,37.73357417,127.0489508,031-877-2777,평일09:00~18:00,1,992,368,3,N,Y,N,N,N,Y,Y,031-828-4874,경기도 의정부시 주차관리과,2023-08-30,3820000,경기도 의정부시
대양공업사,민간,강원도 철원군 갈말읍 아랫삼성길 3,강원도 철원군 갈말읍 문혜리 1242-13,38.16365277,127.3154216,033-452-2630,평일 9-18시,1,364,122.85,3,Y,Y,N,Y,Y,N,N,033-450-5366,강원도 철원군,2022-11-22,4300000,강원도 철원군
상진공업사,민간,강원도 철원군 동송읍 이평로 9,강원도 철원군 동송읍 이평리 648-12,38.21048035,127.2228754,033-455-7777,평일 9-18시,1,560,240,2,Y,Y,N,N,Y,N,Y,033-450-5366,강원도 철원군,2022-11-22,4300000,강원도 철원군
와수자동차공업사,민간,강원도 철원군 서면 와수로 258,강원도 철원군 서면 와수리 867-1,38.24452826,127.4447718,033-458-8011,평일 9-18시,1,1223,420.24,1,N,Y,N,N,N,N,Y,033-450-5366,강원도 철원군,2022-11-22,4300000,강원도 철원군
전방자동차공업사,민간,강원도 철원군 갈말읍 두루미로 53,강원도 철원군 갈말읍 문혜리 856-9,38.18168208,127.3235776,033-452-5380,평일 9-18시,1,999,344,1,Y,Y,N,N,N,N,N,033-450-5366,강원도 철원군,2022-11-22,4300000,강원도 철원군
라오닐,민간,경상북도 예천군 예천읍 도립대학길 114,경상북도 예천군 예천읍 청복리 927,36.64372796,128.4546357,054-650-0157,평일:09:00~18:00,1,1881,1881,0,N,N,N,N,N,N,N,054-650-6253,경상북도 예천군청,2023-03-08,5230000,경상북도 예천군
통명1급자동차정비공장,민간,경상북도 예천군 예천읍 보문로 185-1,경상북도 예천군 예천읍 통명리 85-5,36.66049065,128.483505,054-655-4474,평일:09:00~18:00+토요일:09:00~13:00,1,1966,384.73,4,N,Y,N,Y,N,N,N,054-650-6253,경상북도 예천군청,2023-03-08,5230000,경상북도 예천군
(주)세진자동차서비스,민간,"경기도 평택시 신평로 67, 111동(유천동)",,36.972986,127.105297,031-652-4848,9:00 ~ 18:00,1,3513,1344,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
카카오토검사정비㈜,민간,경기도 평택시 포승읍 포승향남로 95-5,,36.984696,126.871682,031-684-9974,9:00 ~ 18:00,1,1241,413,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
송탄1급자동차공업사,민간,경기도 평택시 청원로 1399(장안동),,37.052651,127.078666,031-611-4585,9:00 ~ 18:00,1,4300,495,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
어연드림자동차검사소,민간,경기도 평택시 청북읍 청북산단로 30,,37.0502330428,126.9735991163,031-0000-0000,9:00 ~ 18:00,1,760,372,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
㈜올카,민간,경기도 평택시 포승향남로 235,,36.990396,126.857856,031-0000-0000,9:00 ~ 18:00,1,1951,1059,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
극동공업사,민간,강원도 영월군 영월읍 덕포우회길 54,강원도 영월군 영월읍 덕포리 574-80,37.1786704,128.4741711,033-373-9220,"평일 : 9:00~18:00 + 토요일(첫,셋째주) : 09:00~12:00",1,1118,391,2,Y,Y,N,Y,N,Y,Y,033-249-3446,강원도청 교통과,2023-05-23,4271000,강원특별자치도 영월군
영월현대서비스,민간,강원도 영월군 영월읍 영월로 2129,강원도 영월군 영월읍 덕포리 415-1,37.1840232,128.482622,033-370-0802,토요일은 항상,1,665,1210,3,N,Y,N,N,N,N,Y,033-249-3446,강원도청 교통과,2023-05-23,4271000,강원특별자치도 영월군
㈜화성현대서비스,민간,,경기도 화성시 송산면 사강리 300,37.21770544,126.7290107,031-356-6200,09:00~18:00,1,4818,2294,,N,Y,N,N,N,Y,N,,경기도 화성시,2023-07-05,5530000,경기도 화성시
㈜월평정비검사장,민간,대전광역시 서구 월드컵대로 484번길148-4,,36.34407374,127.3539735,042-528-9501,평일09:00-18:00+토요일09:00-13:00,1,1884,306,3,Y,Y,N,N,N,Y,Y,042-270-5851,대전광역시청,2021-10-26,6300000,대전광역시
㈜청모터스,민간,대전광역시 서구 복수북로1,,36.30762248,127.3707416,042-585-9119,평일09:00-18:00+토요일09:00-13:00,1,1776,354,3,Y,Y,N,N,N,Y,Y,042-270-5851,대전광역시청,2021-10-26,6300000,대전광역시
㈜한스오토스,민간,대전광역시 서구 혜천로36,,36.305854,127.369912,042-584-3333,평일09:00-18:00+토요일09:00-13:00,1,1917,381,3,Y,Y,N,N,N,Y,Y,042-270-5851,대전광역시청,2021-10-26,6300000,대전광역시
관저자동차공업사,민간,대전광역시 유성구 계백로937,,36.30158586,127.3270612,042-544-2222,평일09:00-18:00+토요일09:00-13:00,1,3746,450,3,Y,Y,N,N,N,Y,Y,042-270-5851,대전광역시청,2021-10-26,6300000,대전광역시
㈜서대전공업사,민간,대전광역시 유성구 계백로963,,36.301954,127.3301133,042-545-7181,평일09:00-18:00+토요일09:00-13:00,1,2621,1115,3,Y,Y,N,N,N,Y,Y,042-270-5851,대전광역시청,2021-10-26,6300000,대전광역시
유화자동차공업사,민간,대전광역시 유성구 계백로919,,36.3010496,127.325429,042-545-2245,평일09:00-18:00+토요일09:00-13:00,1,7604,2538,4,Y,Y,N,N,N,Y,Y,042-270-5851,대전광역시청,2021-10-26,6300000,대전광역시
대성공업사,민간,대전광역시 대덕구 대화로16,,36.3684909,127.4179108,042-624-7771,평일09:00-18:00+토요일09:00-13:00,1,586,323,3,Y,Y,N,N,N,Y,Y,042-270-5851,대전광역시청,2021-10-26,6300000,대전광역시
삼성자동차공업㈜,민간,대전광역시 대덕구 신일동로33번길85,,36.44502852,127.4075284,042-936-7777,평일09:00-18:00+토요일09:00-13:00,1,1926,1329,3,Y,Y,N,N,N,Y,Y,042-270-5851,대전광역시청,2021-10-26,6300000,대전광역시
황악정비센타,민간,경상북도 김천시 대항면 복전길 190,경상북도 김천시 대항면 복전리 49,36.13446079,128.0334636,054-436-8811,08:30~17:30,1,1478,1180,1,N,Y,N,N,N,N,N,054-420-6826,경상북도 김천시청 교통행정과,2023-03-15,5060000,경상북도 김천시
스마일자동차종합,민간,경상북도 김천시 영남대로 2097-6,경상북도 김천시 덕곡동 738-2,36.11509138,128.157771,054-430-2225,08:30~17:30,1,592,783,1,N,Y,N,N,N,N,N,054-420-6826,경상북도 김천시청 교통행정과,2023-03-15,5060000,경상북도 김천시
태성종합정비,민간,경상북도 김천시 영남대로 2137,경상북도 김천시 덕곡동 784-2,36.1133484,128.1616948,054-433-4982,08:30~17:30,1,181,1079,1,N,Y,N,N,N,N,N,054-420-6826,경상북도 김천시청 교통행정과,2023-03-15,5060000,경상북도 김천시
그린자동차종합정비,민간,경상북도 김천시 영남대로 2078,경상북도 김천시 덕곡동 972,36.115077,128.1550033,054-431-7200,08:30~18:00,1,1627,971,1,N,Y,N,N,N,N,N,054-420-6826,경상북도 김천시청 교통행정과,2023-03-15,5060000,경상북도 김천시
경대자동차종합검사소,민간,경상남도 진주시 내동면 내동로 152,경상남도 진주시 내동면 신율리 660,35.15462917,128.0835827,055-762-3636,평일08:20~17:20+토요일08:20~12:20,1,1189,237.28,1,N,Y,N,N,N,N,Y,055-749-8737,경상남도 진주시청,2023-06-02,5310000,경상남도 진주시
동방자동차정비공업사,민간,경상남도 진주시 돗골로58번길 7,경상남도 진주시 상평동 201-18,35.17337256,128.1134139,055-757-2626,평일09:00 ~ 18:00,1,1652.9,844.67,1,N,Y,N,N,N,N,Y,055-749-8737,경상남도 진주시청,2023-06-02,5310000,경상남도 진주시
(주)동인천서비스,민간,인천광역시 중구 인중로 43(신흥동 3가),,37.46357122,126.6379177,032-884-4001,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
(주)연안자동차,민간,인천광역시 중구 축항대로86번길 66(항동 7가),,37.45159276,126.6032514,032-887-2277,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
드림자동차공업(주),민간,인천광역시 중구 서해대로 106 (신흥동3가),,37.43790906,126.6186115,032-888-8936,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
공항자동차공업사,민간,인천광역시 중구 백운로527번길 51(운북동),,37.51242367,126.5042017,032-747-1471,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
신흥현대자동차공업사,민간,인천광역시 중구 축항대로290번길 134(신흥동),,37.43749156,126.6202171,032-818-5555,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
㈜에이원모터스,민간,인천광역시 중구 공항동로465번길 105-12(운서동),,37.47973379,126.4519723,032-741-6000,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,N,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
은혜공업(주),민간,인천광역시 중구 서해대로94번길 57-33 (신흥동3가),,37.4365879,126.6240675,032-887-5670,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,N,N,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
삼일자동차써비스(주),민간,인천광역시 중구 축항대로290번길 120(신흥동3가),,37.43890375,126.6205351,032-885-3106,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
남신공업사,민간,전라북도 남원시 남문로 482,,35.40557775,127.3839991,063-625-9901,평일09:00~1800+토요일09:00~13:00,1,1376,414,1,N,Y,N,N,Y,N,Y,063-620-6567,전라북도 남원시청,2023-05-30,4700000,전라북도 남원시
서산현대자동차공업사,민간,충청남도 서산시 고운로 6-7(예천동),,36.77355161,126.4439601,041-665-2933,평일 09:00~18:00+토요일 09:00~12:00,1,10343,3588,6,N,Y,N,N,N,Y,Y,041-660-2319,충청남도 서산시 교통과,2022-07-25,4530000,충청남도 서산시
서산현대서비스,민간,충청남도 서산시 수석순환로 5(수석동),,36.78147112,126.4973972,041-665-0611,평일 09:00~18:00+토요일 09:00~12:00,1,7420,1823,4,N,Y,N,N,N,Y,Y,041-660-2319,충청남도 서산시 교통과,2022-07-25,4530000,충청남도 서산시
백마공업사,민간,충청남도 서산시 지곡면 충의로 1585,,36.90822802,126.4407145,041-663-3777,평일 09:00~18:00+토요일 09:00~12:00,1,5000,1980,3,N,Y,N,N,N,Y,Y,041-660-2319,충청남도 서산시 교통과,2022-07-25,4530000,충청남도 서산시
제국모터스,민간,충청남도 서산시 양열로 212(석남동),,36.76188865,126.4535791,041-667-1171,평일 09:00~18:00+토요일 09:00~12:00,2,1652,328,2,N,Y,N,N,N,Y,Y,041-660-2319,충청남도 서산시 교통과,2022-07-25,4530000,충청남도 서산시
한국지엠서산서비스센터(주),민간,충청남도 서산시 음암면 운암로 233,,36.79160323,126.5053495,041-664-8255,"평일 09:00~18:00+토요일 09:00~13:00 (*2,4주 차 주말 휴무)",1,2314,1266,3,N,Y,N,N,N,Y,Y,041-660-2319,충청남도 서산시 교통과,2022-07-25,4530000,충청남도 서산시
현대자동차정비공업사,민간,충청남도 서산시 성연면 충의로 703,,36.83184426,126.4422911,041-664-8622,평일 09:00~18:00+토요일 09:00~12:00,1,993,578,4,N,Y,N,N,N,Y,Y,041-660-2319,충청남도 서산시 교통과,2022-07-25,4530000,충청남도 서산시
애향자동차정비공업,민간,충청남도 서산시 음암면 중앙로 548,,36.75200904,126.4996219,041-667-2345,평일 09:00~18:00+토요일 09:00~12:00,1,3824,1712,2,N,Y,N,N,N,Y,Y,041-660-2319,충청남도 서산시 교통과,2022-07-25,4530000,충청남도 서산시
우대자동차공업사,민간,충청남도 서산시 고북면 내포로 2435,,36.69873874,126.5413179,041-688-7748,평일 09:00~18:00+토요일 09:00~12:00,1,3286,834,3,N,Y,N,N,N,Y,Y,041-660-2319,충청남도 서산시 교통과,2022-07-25,4530000,충청남도 서산시
글로벌모터스,민간,충청남도 서산시 남부순환로 907,,36.75822584,126.4502761,041-667-3311,평일 09:00~18:00+토요일 09:00~12:00,1,10263,2352,3,N,Y,N,N,N,Y,Y,041-660-2319,충청남도 서산시 교통과,2022-07-25,4530000,충청남도 서산시
중앙자동차정비공업사,민간,충청남도 서산시 대산읍 충의로 1645-4,,36.91413925,126.4418316,041-681-4231,평일 09:00~18:00+토요일 09:00~12:00,1,1367,507,3,N,Y,N,N,N,Y,Y,041-660-2319,충청남도 서산시 교통과,2022-07-25,4530000,충청남도 서산시
종합자동차공업사,민간,충청남도 서산시 서해로 3197,,36.77102126,126.4357785,041-667-1241,평일 09:00~18:00+토요일 09:00~12:00,1,2412,756,2,N,Y,N,N,N,Y,Y,041-660-2319,충청남도 서산시 교통과,2022-07-25,4530000,충청남도 서산시
남부현대서비스,민간,충청남도 서산시 남부순환로 20-8,,36.75368012,126.4943513,041-668-1188,평일 09:00~18:00+토요일 09:00~12:00,1,5132,2134,3,N,Y,N,N,N,Y,Y,041-660-2319,충청남도 서산시 교통과,2022-07-25,4530000,충청남도 서산시
